StartTime: 2018-09-14 11:07:50.512
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Lon(deg)	Lat(deg) 
24.410	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0712	1.5601	159.8566	36.6000	38	-100	29	0.00000000	0.00000000 
24.510	-0.0273	0.0186	1.0190	0.0000	0.0000	0.0000	1.0712	1.5601	159.8401	36.5800	37	-101	30	0.00000000	0.00000000 
24.610	-0.0273	0.0186	1.0190	0.0000	0.0000	0.0000	1.0712	1.5601	159.8236	36.6400	37	-100	30	0.00000000	0.00000000 
24.710	-0.0278	0.0190	1.0190	0.0000	0.0000	0.0000	1.0712	1.5601	159.8016	36.6500	36	-101	31	0.00000000	0.00000000 
24.809	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0712	1.5601	159.8126	36.5900	37	-101	30	0.00000000	0.00000000 
24.909	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0712	1.5601	159.8126	36.6600	37	-100	31	0.00000000	0.00000000 
25.009	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0657	1.5601	159.8126	36.6400	36	-101	30	0.00000000	0.00000000 
25.108	-0.0273	0.0190	1.0190	0.0000	0.0000	0.0000	1.0657	1.5546	159.8236	36.6900	36	-100	30	0.00000000	0.00000000 
25.208	-0.0273	0.0190	1.0195	0.0000	0.0000	0.0000	1.0657	1.5546	159.8291	36.6500	36	-101	32	0.00000000	0.00000000 
25.308	-0.0273	0.0195	1.0190	0.0000	0.0000	0.0000	1.0712	1.5546	159.8291	36.7000	37	-102	30	0.00000000	0.00000000 
25.408	-0.0269	0.0190	1.0186	0.0000	0.0000	0.0000	1.0712	1.5546	159.8236	36.6600	37	-100	30	0.00000000	0.00000000 
25.508	-0.0269	0.0190	1.0186	0.0000	0.0000	0.0000	1.0712	1.5491	159.7961	36.6400	38	-100	31	0.00000000	0.00000000 
25.607	-0.0273	0.0195	1.0186	0.0000	0.0000	0.0000	1.0712	1.5491	159.7577	36.6600	37	-101	31	0.00000000	0.00000000 
25.707	-0.0278	0.0195	1.0190	0.0000	0.0000	0.0000	1.0712	1.5491	159.7522	36.6800	37	-100	30	0.00000000	0.00000000 
25.807	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0712	1.5491	159.7467	36.7100	37	-100	30	0.00000000	0.00000000 
25.907	-0.0278	0.0190	1.0176	0.0000	0.0000	0.0000	1.0712	1.5491	159.7467	36.6700	36	-101	31	0.00000000	0.00000000 
26.007	-0.0273	0.0190	1.0176	0.0000	0.0000	0.0000	1.0712	1.5491	159.7687	36.7600	36	-101	31	0.00000000	0.00000000 
26.107	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0712	1.5491	159.8071	36.7800	35	-100	29	0.00000000	0.00000000 
26.206	-0.0273	0.0195	1.0186	0.0000	0.0000	0.0000	1.0712	1.5491	159.8236	36.7200	36	-100	31	0.00000000	0.00000000 
26.306	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0712	1.5491	159.8401	36.7600	35	-100	30	0.00000000	0.00000000 
26.406	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0712	1.5491	159.8895	36.7800	35	-102	30	0.00000000	0.00000000 
26.505	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0712	1.5491	159.9115	36.7100	36	-100	30	0.00000000	0.00000000 
26.606	-0.0278	0.0181	1.0186	0.0000	0.0000	0.0000	1.0712	1.5491	159.9060	36.7700	37	-100	29	0.00000000	0.00000000 
26.705	-0.0273	0.0186	1.0181	0.0000	0.0000	0.0000	1.0657	1.5491	159.8785	36.8100	37	-101	29	0.00000000	0.00000000 
26.805	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0657	1.5491	159.8676	36.7700	36	-100	29	0.00000000	0.00000000 
26.905	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0657	1.5491	159.8566	36.7600	36	-100	30	0.00000000	0.00000000 
27.005	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0657	1.5491	159.8840	36.8200	37	-101	29	0.00000000	0.00000000 
27.104	-0.0278	0.0186	1.0181	0.0000	0.0000	0.0000	1.0657	1.5491	159.9115	36.8200	35	-101	29	0.00000000	0.00000000 
27.204	-0.0278	0.0186	1.0181	0.0000	0.0000	0.0000	1.0657	1.5491	159.9335	36.8100	36	-101	30	0.00000000	0.00000000 
27.304	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0657	1.5491	159.9609	36.7800	37	-101	31	0.00000000	0.00000000 
27.404	-0.0273	0.0190	1.0181	0.0000	0.0000	0.0000	1.0657	1.5491	159.9609	36.8600	36	-101	29	0.00000000	0.00000000 
27.504	-0.0278	0.0181	1.0181	0.0000	0.0000	0.0000	1.0657	1.5491	159.9719	36.7900	36	-100	30	0.00000000	0.00000000 
27.603	-0.0278	0.0181	1.0186	0.0000	0.0000	0.0000	1.0602	1.5491	159.9445	36.8500	38	-100	31	0.00000000	0.00000000 
27.703	-0.0278	0.0186	1.0190	0.0000	0.0000	0.0000	1.0602	1.5491	159.9170	36.8400	37	-101	30	0.00000000	0.00000000 
27.803	-0.0273	0.0190	1.0186	0.0000	0.0000	0.0000	1.0547	1.5491	159.9060	36.8000	36	-100	30	0.00000000	0.00000000 
27.903	-0.0273	0.0195	1.0186	0.0000	0.0000	0.0000	1.0602	1.5491	159.9170	36.7800	36	-102	30	0.00000000	0.00000000 
28.002	-0.0278	0.0190	1.0181	0.0000	0.0000	0.0000	1.0602	1.5491	159.9280	36.8700	37	-102	30	0.00000000	0.00000000 
28.102	-0.0278	0.0186	1.0181	0.0000	0.0000	0.0000	1.0602	1.5491	159.9280	36.8200	37	-101	29	0.00000000	0.00000000 
28.202	-0.0278	0.0186	1.0186	0.0000	0.0000	0.0000	1.0602	1.5491	159.9170	36.8600	37	-101	31	0.00000000	0.00000000 
28.302	-0.0278	0.0190	1.0186	0.0000	0.0000	0.0000	1.0602	1.5491	159.8950	36.8500	37	-101	31	0.00000000	0.00000000 
